,transcriptomic,proteomic,genomic,rna_prot_corr,score
ANK2,7.29045,0.07139574468085104,0.01935483870967742,,0.5623612960497115
MIA3,10.544911111111114,0.02054259259259259,0.012903225806451613,0.486229964448217,0.5614735907678651
HSPA5,13.62272222222222,0.045970370370370384,0.0064516129032258064,0.7088622069754144,0.5605858854860186
TOP2A,11.003775925925924,0.0006555555555555491,0.017204301075268817,0.7309700781398895,0.5605858854860186
PADI2,8.166099999999998,0.18843800000000002,0.008602150537634409,,0.559254327563249
CUL7,11.056105555555552,0.07763137254901961,0.0064516129032258064,,0.5574789169995561
RTN4,11.692044444444445,0.06104444444444446,0.0064516129032258064,0.5820850009529254,0.5557035064358633
MUC5B,7.403398148148148,0.34766896551724136,0.008602150537634409,,0.55525965379494
LPCAT1,10.627498148148147,0.09555925925925927,0.0064516129032258064,0.7779069547239896,0.5548158011540169
FARSA,10.81444814814815,0.03593333333333334,0.008602150537634409,0.17476653325709926,0.5548158011540167
ITPR3,11.558662962962964,0.007677777777777772,0.010752688172043012,0.5660758528683056,0.5543719485130936
CDC42BPA,10.787231481481482,0.08560681818181819,0.0064516129032258064,,0.5539280958721704
ARMCX2,10.418246296296298,0.11187755102040817,0.0064516129032258064,,0.5534842432312472
EIF4G2,14.101346296296297,0.042309259259259276,0.0064516129032258064,0.6425889574057732,0.5534842432312472
KDM5A,10.509707407407408,0.10435925925925928,0.0064516129032258064,,0.5534842432312472
NCF2,7.483874074074073,0.08064680851063828,0.012903225806451613,,0.5530403905903241
KRT6A,6.674385185185184,0.7826018518518522,0.008602150537634409,0.7611587573851724,0.5525965379494007
GIGYF2,10.572783333333335,0.026914814814814808,0.010752688172043012,0.28256684904787016,0.5512649800266312
PSMC3,10.871944444444447,0.03376111111111111,0.008602150537634409,0.34728416237850196,0.5512649800266312
OVGP1,6.354809259259258,1.1838137931034483,0.008602150537634409,,0.5508211273857079
ANKS1A,10.494801851851852,0.04415918367346939,0.008602150537634409,,0.5494895694629383
EPS8,8.983253703703703,0.10312195121951222,0.008602150537634409,,0.5490457168220151
GOLGA3,10.580188888888886,0.04022407407407407,0.008602150537634409,0.412921669525443,0.5477141588992454
SMG1,10.811016666666667,0.03379607843137255,0.008602150537634409,,0.5472703062583222
DLG3,9.899587037037039,0.1876121951219512,0.0064516129032258064,,0.5463826009764757
EMILIN1,9.897218518518516,0.1831925925925926,0.0064516129032258064,0.4793687702179975,0.5437194851309365
JUP,13.844618518518521,0.004370370370370373,0.008602150537634409,0.2983419096626644,0.5432756324900132
TOPBP1,10.227833333333331,0.11776206896551722,0.0064516129032258064,,0.54283177984909
CYP7B1,4.412881481481484,0.08877916666666667,0.012903225806451613,,0.5423879272081669
DSN1,8.90322777777778,0.10077073170731707,0.008602150537634409,,0.5419440745672437
VPS52,10.773948148148145,0.018166666666666668,0.010752688172043012,0.06887745378311415,0.5415002219263205
STAT6,11.905562962962964,0.014807407407407405,0.008602150537634409,0.6516866781017724,0.5401686640035508
FBN1,9.640937037037036,0.3354370370370369,0.0064516129032258064,0.3347055460263007,0.5397248113626275
COL2A1,4.818807407407407,0.43705510204081627,0.008602150537634409,,0.5392809587217045
UBE4A,10.575103703703705,0.0879351851851852,0.0064516129032258064,0.6092243186582808,0.5392809587217043
EIF3L,12.541511111111113,0.042877777777777785,0.0064516129032258064,0.2501619973318086,0.5388371060807812
GAB2,11.53993148148148,0.0016173076923076924,0.010752688172043012,,0.5388371060807812
ASCC3,9.489372222222224,0.049501851851851845,0.010752688172043012,0.35445016199733176,0.5388371060807811
PDS5B,9.18700185185185,0.08458333333333333,0.008602150537634409,0.6337716790546978,0.5388371060807811
OGDH,11.440548148148148,0.058327777777777784,0.0064516129032258064,0.7221269296740994,0.538393253439858
IRF2,9.797472222222224,0.1872772727272727,0.0064516129032258064,,0.5370616955170883
GANAB,13.59678148148148,0.03767222222222223,0.0064516129032258064,0.4774156660949113,0.5366178428761651
TKTL1,3.403818518518518,0.4601738095238095,0.008602150537634409,,0.5361739902352418
XRCC1,9.95897407407408,0.1437019230769231,0.0064516129032258064,,0.5357301375943186
PCNT,9.67334259259259,0.06465185185185186,0.008602150537634409,0.40392605298265666,0.5357301375943186
RBM12,10.89477222222222,0.0711648148148148,0.0064516129032258064,0.5200304936153991,0.5352862849533955
ATM,9.462822222222226,0.03122777777777778,0.017204301075268817,0.5534972365161044,0.5348424323124723
PRKCB,6.746483333333334,0.10181666666666665,0.010752688172043012,,0.5348424323124723
TNS1,12.246355555555553,0.04424259259259259,0.0064516129032258064,0.555403087478559,0.534398579671549
SPTBN4,5.554162962962961,0.2878379310344828,0.008602150537634409,,0.5335108743897026
SPTBN2,11.069468518518518,0.00880555555555555,0.010752688172043012,0.5300933866971601,0.5330670217487794
